RulesetName,MaterialPos,InfluencePos,SidesProximityPos,LineCompletionHeuristicNeg,NullHeuristicPos,LineCompletionHeuristicPos,CornerProximityNeg,MobilitySimpleNeg,CentreProximityNeg,InfluenceNeg,MaterialNeg,CornerProximityPos,MobilitySimplePos,CentreProximityPos,SidesProximityNeg,RegionProximityNeg,RegionProximityPos,ScorePos,ScoreNeg,PlayerRegionsProximityNeg,PlayerRegionsProximityPos,PlayerSiteMapCountPos,PlayerSiteMapCountNeg,OwnRegionsCountPos,OwnRegionsCountNeg,ComponentValuesPos,ComponentValuesNeg
Merimueng-rimueng_Merimueng-Rimueng,65.5263157894737,47.8260869565217,54.75,46.4705882352941,59,45.5,45.9090909090909,50,50,49.3181818181818,47.3684210526316,50,50,44.2857142857143,45.8695652173913,59,59,59,59,59,59,59,59,59,59,59,59
Meurimueng-rimueng_Peuet_Ploh_Merimueng-rimueng_Peuet_Ploh,81,65.2272727272727,64,41.3157894736842,35.9523809523809,54.4736842105263,43.25,56.1363636363636,42,45.5,22.5,56.8421052631579,58.3333333333333,50.2272727272727,25,35.9523809523809,35.9523809523809,35.9523809523809,35.9523809523809,35.9523809523809,35.9523809523809,35.9523809523809,35.9523809523809,35.9523809523809,35.9523809523809,35.9523809523809,35.9523809523809
At-Tab_wa-d-Dukk_at-Tab_wa-d-Dukk,82.2222222222222,38.6842105263158,63.8235294117647,37.6315789473684,49.4,71,22.1052631578947,57.3529411764706,26.75,46.6666666666667,14.1666666666667,75.6521739130435,42.2222222222222,72.2916666666667,34.75,57.3809523809524,79.1304347826087,79.7222222222222,5.71428571428571,52.5,58.3333333333333,47.9411764705882,51.1363636363636,60.75,45.4761904761905,49.4,49.4
Sig_Mzab_Sig_Mzab,75.2941176470588,50,75,31.8421052631579,41.25,66.3636363636364,23.9583333333333,55,23.25,51.4,16.0526315789474,82.5,47.7777777777778,79.6666666666667,46.4705882352941,47.9411764705882,77.8947368421053,41.25,41.25,48.421052631579,43.695652173913,46.5789473684211,41.75,68,42.6470588235294,41.25,41.25
Sig_Tozeur_Sig_Tozeur,59.7619047619048,51.6666666666667,57.8947368421053,47.3684210526316,52.75,56.25,45.6666666666667,50.75,46.5625,48.125,40.4545454545455,59.4444444444444,51,55.8333333333333,40.5263157894737,48.2352941176471,57.2727272727273,52.75,52.75,48.6842105263158,50,52.75,52.75,45.8333333333333,49.4444444444444,52.75,52.75
Bagh_Batti_Bagh_Batti,77.6470588235294,51.1904761904762,68.9473684210526,52.3809523809524,57.1428571428571,54.5238095238095,34.2105263157895,50.75,47.6190476190476,46.3636363636364,18.5714285714286,60.7894736842105,51.0526315789474,49.3181818181818,33.2352941176471,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571,57.1428571428571
Had_Had,49.25,53,44.4736842105263,50.6818181818182,51.1904761904762,49.1666666666667,51.0526315789474,50.5,51.1363636363636,49.4736842105263,51.4285714285714,49.2857142857143,48.6842105263158,48.0555555555556,51.6666666666667,51.1904761904762,51.1904761904762,51.1904761904762,51.1904761904762,51.1904761904762,51.1904761904762,51.1904761904762,51.1904761904762,51.1904761904762,51.1904761904762,51.1904761904762,51.1904761904762
Haretavl_Haretavl_Eleven_Points,56.8181818181818,66.9047619047619,54.0476190476191,34,63.6111111111111,58.25,41.0526315789474,36.1363636363636,42,43.8888888888889,60,38.0555555555556,45.7142857142857,62.3809523809524,46.6666666666667,63.6111111111111,63.6111111111111,63.6111111111111,63.6111111111111,63.6111111111111,63.6111111111111,63.6111111111111,63.6111111111111,63.6111111111111,63.6111111111111,63.6111111111111,63.6111111111111
Weiqi_Weiqi,89,54,81.9047619047619,33.3333333333333,54,60.75,24.4444444444444,12.0454545454545,32.8947368421053,54,30.952380952381,80.6818181818182,37.0454545454545,88.8888888888889,37.3809523809524,54,54,43.3333333333333,43.5,54,54,54,54,54,54,54,54
Tuk_Tuk_Tuk_Tuk,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Kharberg_Kharberg,91.5217391304348,90.8333333333333,80.2272727272727,43.3333333333333,17.2727272727273,63.3333333333333,13.6111111111111,40.5263157894737,37.8947368421053,45.2941176470588,12.3809523809524,72.6315789473684,85,67.0454545454546,14.3181818181818,28.3333333333333,66.25,17.2727272727273,17.2727272727273,50.2272727272727,61.25,17.2727272727273,17.2727272727273,55.2777777777778,59.7222222222222,17.2727272727273,17.2727272727273
Tauru_Tauru,77.2727272727273,27.5,64.75,25.5,27.75,90,12.5,70.5555555555556,28.75,74.2857142857143,2.63157894736842,82.2727272727273,31.6666666666667,96.1111111111111,30.7142857142857,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75,27.75
Bolotudu_Bolotudu,63.3333333333333,33,48,34,31.5789473684211,72.8947368421053,20.7894736842105,52.6190476190476,34.7619047619048,63.3333333333333,12.6315789473684,82.6190476190476,37.75,91.5,66.1363636363636,31.5789473684211,31.5789473684211,31.5789473684211,31.5789473684211,31.5789473684211,31.5789473684211,31.5789473684211,31.5789473684211,31.5789473684211,31.5789473684211,31.5789473684211,31.5789473684211
Toki_Toki,84.7826086956522,64.5238095238095,82.5,31,45.8823529411765,70.9375,27.6086956521739,33.1578947368421,33.8636363636364,27.2727272727273,28,76.1111111111111,80.4761904761905,36.4285714285714,29.7727272727273,45.8823529411765,45.8823529411765,45.8823529411765,45.8823529411765,45.8823529411765,45.8823529411765,45.8823529411765,45.8823529411765,45.8823529411765,45.8823529411765,45.8823529411765,45.8823529411765
